date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:10	156280/156280	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:44:39%20GMT	http://kodeforest.net/html/books/store/images/author2.png	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/images/author2.png	(from http://kodeforest.net/html/books/store/about-us.html)
09:36:17	231641/231641	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:49:40%20GMT	http://kodeforest.net/html/books/store/images/tabs-imgs.png	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/images/tabs-imgs.png	(from http://kodeforest.net/html/books/store/about-us.html)
09:36:24	234931/234931	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:44:26%20GMT	http://kodeforest.net/html/books/store/images/author.png	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/images/author.png	(from http://kodeforest.net/html/books/store/about-us.html)
09:36:46	226260/226260	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:44:41%20GMT	http://kodeforest.net/html/books/store/images/author3.png	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/images/author3.png	(from http://kodeforest.net/html/books/store/about-us.html)
09:36:51	250632/250632	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:45:38%20GMT	http://kodeforest.net/html/books/store/images/blog-single.png	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/images/blog-single.png	(from http://kodeforest.net/html/books/store/blog.html)
09:36:56	240472/240472	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:45:42%20GMT	http://kodeforest.net/html/books/store/images/blog-single2.png	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/images/blog-single2.png	(from http://kodeforest.net/html/books/store/blog.html)
09:37:08	275121/275121	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:45:42%20GMT	http://kodeforest.net/html/books/store/images/blog-single3.png	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/images/blog-single3.png	(from http://kodeforest.net/html/books/store/blog.html)
09:37:20	232592/232592	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:45:45%20GMT	http://kodeforest.net/html/books/store/images/blog-single4.png	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/images/blog-single4.png	(from http://kodeforest.net/html/books/store/blog.html)
09:46:12	187513/187513	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:44:48%20GMT	http://kodeforest.net/html/books/store/images/author6.png	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/images/author6.png	(from http://kodeforest.net/html/books/store/authors.html)
09:46:23	204397/204397	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Nov%202015%2015:44:50%20GMT	http://kodeforest.net/html/books/store/images/author7.png	C:/My%20Web%20Sites/guoapplications/kodeforest.net/html/books/store/images/author7.png	(from http://kodeforest.net/html/books/store/authors.html)
